group_id,chunk_id,topic,category,risk_level,title,text,source_id,allowed_use,blocked_use,language
20,C001,Career Anxiety,Mental Health,Medium,Career Anxiety Definition,Career anxiety involves persistent worry and self doubt related to current jobs and future careers.,S007,Students and professionals,None,English
20,C002,Career Anxiety,Mental Health,Medium,Job Anxiety Focus,Job anxiety specifically focuses on work related fears and concerns.,S007,Students and professionals,None,English
20,C003,Career Anxiety,Mental Health,Medium,Workplace Effects,Career anxiety commonly affects work performance and workplace relationships.,S007,Students and professionals,None,English
20,C004,Career Anxiety,Mental Health,Medium,Job Dissatisfaction,Career anxiety may appear as dissatisfaction with workload responsibilities or work conditions.,S007,Students and professionals,None,English
20,C005,Career Anxiety,Mental Health,Medium,Expectation Imbalance,Job dissatisfaction often happens because expectations do not match reality.,S007,Students and professionals,None,English
20,C006,Career Anxiety,Mental Health,High,Productivity Decline,Career anxiety may reduce concentration productivity and work quality.,S007,Students and professionals,None,English
20,C007,Career Anxiety,Mental Health,Medium,Social Interaction Problems,Career anxiety can negatively affect teamwork communication and workplace relationships.,S007,Students and professionals,None,English
20,C008,Career Anxiety,Mental Health,Medium,Behavioral Signs,Behavioral signs include absenteeism procrastination and overreacting at work.,S007,Students and professionals,None,English
20,C009,Career Anxiety,Mental Health,Medium,Career Transitions,Job searching changing careers and entering the workforce may trigger career anxiety.,S007,Students and professionals,None,English
20,C010,Career Anxiety,Mental Health,High,Toxic Workplace Factors,Bullying chaotic environments and workplace disagreements can increase anxiety.,S007,Students and professionals,None,English
20,C011,Career Anxiety,Mental Health,High,Management and Workload Pressure,Heavy workloads unclear expectations and poor management may cause job anxiety.,S007,Students and professionals,None,English
20,C012,Career Anxiety,Mental Health,Low,Support Networks,Family friends mentors and peers can provide emotional support and reduce anxiety.,S007,Students and professionals,None,English
20,C013,Career Anxiety,Mental Health,Low,Talking to Co Workers,Co workers can provide support understanding and shared experiences about workplace stress.,S007,Students and professionals,None,English
20,C014,Career Anxiety,Mental Health,Low,Asking for Help,Accepting help reduces stress improves teamwork and builds trust.,S007,Students and professionals,None,English
20,C015,Career Anxiety,Mental Health,Low,Career Goals and Dream Jobs,Realistic career goals and balanced expectations can reduce anxiety and pressure.,S007,Students and professionals,None,English
20,C001,Career Anxiety,Mental Health,Low,Career Path Confusion,Many graduates do not immediately know their exact career path and often explore careers through experience.,S008,Students,None,English
20,C002,Career Anxiety,Mental Health,Low,Learning From Jobs,Even unwanted jobs can help people understand their interests skills and future goals.,S008,Students,None,English
20,C003,Career Anxiety,Mental Health,Low,Skills and Interests,Combining skills experiences and interests helps people choose suitable career paths.,S008,Students,None,English
20,C004,Career Anxiety,Mental Health,Low,Career Guidance,Teachers mentors and advisers can provide career advice and professional guidance.,S008,Students,None,English
20,C005,Career Anxiety,Mental Health,Low,Online Counseling,Online career counseling provides convenient and accessible support for career decisions.,S008,Students,None,English
20,C006,Career Anxiety,Mental Health,Low,Small Career Goals,Breaking long term goals into smaller steps helps reduce stress and anxiety.,S008,Students,None,English
20,C007,Career Anxiety,Mental Health,Low,Realistic Progress,Small practical actions help people progress toward larger career goals.,S008,Students,None,English
20,C008,Career Anxiety,Mental Health,Low,Handling Rejection,Career setbacks and rejections should be viewed as normal learning experiences.,S008,Students,None,English
20,C009,Career Anxiety,Mental Health,Low,Interview Feedback,Professional feedback helps people improve and develop confidence.,S008,Students,None,English
20,C010,Career Anxiety,Mental Health,Low,Accepting Criticism,Ignoring criticism may prevent personal and professional growth.,S008,Students,None,English
20,C011,Career Anxiety,Mental Health,Low,Support Networks,Family friends coworkers counselors and online communities can provide emotional support.,S008,Students,None,English
20,C012,Career Anxiety,Mental Health,Low,Sharing Fears,Talking with trusted people helps reduce stress and emotional pressure.,S008,Students,None,English
20,C013,Career Anxiety,Mental Health,Low,Celebrating Achievements,Recognizing personal achievements boosts confidence and motivation.,S008,Students,None,English
20,C014,Career Anxiety,Mental Health,Low,Social Media Pressure,Comparing careers on social media may increase anxiety and peer pressure.,S008,Students,None,English
20,C015,Career Anxiety,Mental Health,Low,Professional Platforms,LinkedIn provides professional networking and realistic career information.,S008,Students,None,English
