question_id,ideal_answer,must_include,must_not_include,human_support_needed
Q023,Detailed examples of flexible careers can help students feel less anxious about career choices.,Career examples flexibility,Negative advice,No
Q024,Non linear career journeys normalize change and reduce pressure about fixed career paths.,Career changes reduced anxiety,Unrelated topics,No
Q025,Educational resources and career support services help students manage anxiety and career planning.,Educational support career guidance,Unsafe advice,No
Q026,Workplace pressure and uncertainty can increase stress and career anxiety.,Pressure uncertainty stress,Irrelevant details,No
Q027,Employees fear failure because they worry about mistakes and expectations.,Mistakes expectations fear,False claims,No
Q028,Uncertain futures create confusion stress and career insecurity.,Future uncertainty insecurity,Unrelated topics,No
Q029,Recognizing strengths and achievements improves confidence and reduces anxiety.,Confidence achievements strengths,Negative advice,No
Q030,Healthy routines and time management help reduce stress and anxiety.,Stress management routines,Unsafe suggestions,No
Q031,Support systems provide emotional reassurance and career guidance.,Support reassurance guidance,False information,No
Q032,Accepting flexible career paths reduces pressure about fixed success.,Flexible careers reduced pressure,Irrelevant examples,No
Q033,Learning new skills increases confidence and career security.,Skills confidence growth,Negative suggestions,No
Q034,Balancing work and personal life improves mental well being.,Balance mental health,Unsafe advice,No
Q035,Professional counseling helps people manage anxiety and make career decisions.,Career counseling anxiety management,Irrelevant medical advice,No
Q036,Future uncertainty may increase stress fear and emotional instability.,Future uncertainty emotional stress,Irrelevant details,Yes
Q037,Heavy workloads and pressure may lead to emotional exhaustion and burnout.,Burnout pressure exhaustion,Unsafe advice,Yes
Q038,Fear of failure may reduce confidence and increase anxiety.,Fear failure confidence,False claims,No
Q039,Job insecurity creates stress fear and uncertainty about the future.,Job insecurity stress fear,Irrelevant topics,No
Q040,Career stress may negatively affect sleep and emotional balance.,Stress sleep emotional balance,Unsafe suggestions,Yes
Q041,Comparing careers with others may increase dissatisfaction and emotional pressure.,Comparison pressure dissatisfaction,Negative judgments,No
Q042,Very high expectations can create disappointment stress and anxiety.,High expectations pressure stress,False information,No
Q043,Professional support may help when career anxiety becomes severe or overwhelming.,Professional support severe anxiety,Dangerous advice,Yes
Q044,Career anxiety is long term worry about careers and future success unlike temporary work stress.,Career anxiety work stress future,Irrelevant details,No
Q045,Job anxiety focuses specifically on work related fears unlike broader anxiety disorders.,Job anxiety work fears,False claims,No
Q046,Career anxiety affects performance relationships confidence and mental health.,Performance relationships mental health,Irrelevant topics,No
Q047,Career anxiety may appear as dissatisfaction confusion or stress about work.,Dissatisfaction stress confusion,Unsafe advice,No
Q048,Job dissatisfaction happens when expectations do not match workplace reality.,Expectations workplace reality,False information,No
Q049,Career anxiety may lower concentration productivity and work quality.,Concentration productivity quality,Unsafe suggestions,Yes
Q050,Career anxiety may harm teamwork communication and workplace relationships.,Teamwork communication relationships,Negative judgments,No
Q051,Behavioral signs include absenteeism procrastination and overreacting.,Absenteeism procrastination behavior,Irrelevant examples,No
Q052,Career changes job searching and entering the workforce may trigger anxiety.,Career changes workforce,False claims,No
Q053,Toxic workplaces bullying and conflicts increase emotional stress and anxiety.,Toxic workplace bullying conflicts,Unsafe advice,Yes
Q054,Heavy workloads unclear roles and pressure from management increase anxiety.,Workload management pressure,False information,Yes
Q055,Support networks provide emotional reassurance advice and confidence.,Support reassurance confidence,Negative advice,No
Q056,Co workers provide understanding support and shared workplace experiences.,Co workers support workplace,Irrelevant details,No
Q057,Asking for help reduces stress and improves teamwork.,Help teamwork stress,Negative judgments,No
Q058,Realistic goals and balanced expectations reduce career pressure and anxiety.,Goals expectations pressure,False information,No
Q059,Feeling confused about career paths after graduation is normal and part of career discovery.,Career confusion discovery,False claims,No
Q060,Unwanted jobs can still teach skills and help people understand their interests.,Skills interests growth,Irrelevant details,No
Q061,Combining skills and interests helps people choose suitable careers.,Skills interests career,Negative advice,No
Q062,Students can seek advice from teachers mentors and career advisers.,Teachers mentors guidance,Unsafe suggestions,No
Q063,Online counseling provides flexible and convenient career support.,Online counseling convenience,False information,No
Q064,Breaking goals into smaller steps reduces stress and improves focus.,Small goals stress reduction,Irrelevant topics,No
Q065,Small actions and consistent progress help achieve larger goals.,Small actions progress,Unsafe advice,No
Q066,Rejections should be viewed as learning opportunities instead of failure.,Rejection learning growth,Negative judgments,No
Q067,Interview feedback helps people improve confidence and performance.,Feedback improvement confidence,False claims,No
Q068,Ignoring criticism prevents learning and professional growth.,Criticism growth learning,Unsafe advice,No
Q069,Support networks include family friends coworkers counselors and communities.,Support family friends,Irrelevant details,No
Q070,Sharing fears reduces emotional pressure and helps people feel supported.,Sharing fears support,False information,No
Q071,Celebrating achievements increases confidence and motivation.,Achievements confidence motivation,Negative advice,No
Q072,Social media comparison may increase stress and career pressure.,Social media comparison stress,Unsafe suggestions,No
Q073,LinkedIn provides professional networking and realistic career information.,LinkedIn professional networking,Irrelevant details,No
